MESSAGE,THEME,SENTIMENT,USER NAME,TYPE POST,TYPE USER,SERVICE,OBJECT NAME
"tiến sĩ giấy V+. Dũng Học-giả Hoàng Dũng Hoàng Gia Viễn · TỔ TRƯỞNG TỔ TƯ VẤN KINH TẾ CÓ BẰNG TS GIẢ Vũ Viết Ngoạn - ngày này 6 năm trước được ngồi vào vị trí Chủ tịch UB Giám sát Tài chính Quốc gia (29/7/2011). Từ 2007 đến 2011, anh là Phó Chủ nhiệm Uỷ b",2,NEGATIVE,An Lê,POST,Personal,H.R,VIETCOMBANK
"[CẨM NANG TÍN DỤNG]

Tài liệu rất hữu ích đối với bạn nào muốn ứng tuyển vào vị trí chuyên viên tín dụng, hoặc với các bạn đang học các môn về NH, đặc biệt là Tín dụng NH và Nguyên lý hoạt động NH.

-------------------------------------------------------
",3,NEUTRAL,Vietnam Bankers,POST,Page,H.R,VIETCOMBANK
"[HN] #SHB thông báo tuyển dụng vị trí Chuyên viên phát triển Tín dụng Khách hàng Cá nhân

✥ Tốt nghiệp chuyên ngành tài chính, ngân hàng, ngoại thương, đầu tư, thương mại các trường KTQD, Học Viện Ngân hàng, Ngoại Thương, Học Viện Tài chính, Đại học Quốc ",3,NEUTRAL,Vietnam Bankers,POST,Page,H.R,VIETCOMBANK
"“Đến cuối năm 2017, phải đảm bảo xử lý 20.000 tỷ đồng nợ xấu” là tuyên bố của Chủ tịch HĐQT Sacombank Dương Công Minh trước 350 lãnh đạo cốt cán của ngân hàng này tại Hội nghị Sơ kết 6 tháng đầu năm 2017.

80.000 tỷ đồng tài sản có vấn đề là con số mà Sac",3,NEUTRAL,VietnamFinance,POST,Page,Management,VIETCOMBANK
bạn có vietcombank k,2,NEUTRAL,Diem Nguyen,COMMENT,Personal Page/Group,No service,VIETCOMBANK
"╔════════════════════════════════════════════╗  CHỈ 2,1 TỶ SỞ HỮU NGAY CĂN HỘ 2PN TIÊU CHUẨN 5 SAO MT NGUYỄN THỊ THẬP Q7 ╚════════════════════════════════════════════╝  HOTLINE PKD: 0909 338 234 +4 Tư Vấn Bất Động Sản · ╔══════════════════════════════════",3,NEUTRAL,Nguyễn Tùng,POST,Personal,Personal Loan,VIETCOMBANK
"· - Ai có thẻ BIDV, VCB ch liên kết internet banking muốn kiếm 100k thì cmt ở dưới nhé.",3,NEUTRAL,Phạm Thông,POST,Personal,Personal Internet Banking,VIETCOMBANK
· Top 10 Ngân Hàng Uy Tín Nhất Việt Nam 2017 1. Vietcombank 2. Viettinbank 3. BIDV 4. ACB 5. Techcombank 7. Agribank 8. MB Bank 9. Maritime Bank 10. SHB - Ngân hàng Sài Gòn - Hà Nội,2,NEUTRAL,An Nguyen,POST,Personal,Award,VIETCOMBANK
"· - Có tài khoản Internet Banking của Vietcombank, OCB, VPBank, Eximbank, TPBank, ACB, BIDV hoặc Sacombank (thẻ nội địa) nhân ngay thể cao 100k ai muon tôi chi cho cách nhân",3,NEUTRAL,Khánh Bùi,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· - Có tài khoản Internet Banking của Vietcombank, OCB, VPBank, Eximbank, TPBank, ACB, BIDV hoặc Sacombank (thẻ nội địa) nhân ngày thể đt 100k ai mua nhân cmt cam đoan nhân thể sau 3p..100% là sư thât khuyên mai của ngân hàng",3,NEUTRAL,Khánh Bùi,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· - Có tài khoản Internet Banking của Vietcombank, OCB, VPBank, Eximbank, TPBank, ACB, BIDV hoặc Sacombank (thẻ nội địa) nhân thể cào 100k",3,NEUTRAL,Khánh Trang Nguyễn,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· - Có tài khoản Internet Banking của Vietcombank, OCB, VPBank, Eximbank, TPBank, ACB, BIDV hoặc Sacombank (thẻ nội địa) nhân thể cào 100k",3,NEUTRAL,Khánh Bùi,POST,Personal,Personal Internet Banking,VIETCOMBANK
"# edena # crazysale . 5 Chăn ra gối nệm Edena · GAME SIÊU HACK: THÁCH AI GIẢI ĐƯỢC CÂU ĐỐ EDENA CRAZY SALE 80++, BẠN SẼ NHẬN NGAY BỘ CHĂN RA CAO CẤP. Cơ hội nhận ngay Bộ chăn ra gối nệm Solid Edena trị giá 3,270,000 vnđ dành cho bạn nào giải được câu đố c",3,NEUTRAL,Tran Thi Hoach,POST,Personal,Brand Activity,VIETCOMBANK
· - Chư sê có ai có thẻ ngân hàng vietcombank hk ạ.hk cần tiền trong thẻ đâu ạ ạ.hk ạ.hk,2,NEUTRAL,Lê Thị Mỹ Diệp Diệp,POST,Personal,Debit Card,VIETCOMBANK
· - Fb mình có ai có thẻ # vietcombank không ạ ?? Em nhờ vớiiiiii ..,2,NEUTRAL,Thu Dương,POST,Personal,Debit Card,VIETCOMBANK
"Đây mới thực sự là những giá trị Techcombank mang lại cho khách hàng. Thật tự hào vì điều đó! Thúy Ngọc Nguyễn Follow · Thực sự là bị kết TECHCOMBANK lắm ý . Giao diện dễ sử dụng , chuyển khoản tất cả các ngân hàng đều không mất phí chuyển tiền, trước chỉ",2,NEGATIVE,Mi Du,POST,Personal,Account Activity,VIETCOMBANK
1tr gửi 14ngày đc bao nhiêu ad,2,NEUTRAL,Hoàng Anh Sang,COMMENT,Personal Page/Group,Saving Account,VIETCOMBANK
"· Bạn nào muốn nạp thẻ 50k mà chỉ tốn 9k thì inbox mình nhé. Điều kiện: dùng các thẻ sau: Vietcombank, VPbank, ACB, OCB, MaritimeBank, HDBank, Sacombank, Visa, Mastercard, JCB.",3,NEUTRAL,Anh Hàng Xóm,POST,Personal,Personal Internet Banking,VIETCOMBANK
3 - Dịch vụ VCB e-Tour,2,NEUTRAL,Nguyen Thi Thu Ba,COMMENT,Personal Page/Group,Personal Internet Banking,VIETCOMBANK
· Ai ở vt trong tkhoan có 1-2 triệu sài vietcombank không e nhờ tí,2,NEUTRAL,Anh Mai Trần,POST,Personal,No service,VIETCOMBANK
"# edena # crazysale Chăn ra gối nệm Edena · GAME SIÊU HACK: THÁCH AI GIẢI ĐƯỢC CÂU ĐỐ EDENA CRAZY SALE 80++, BẠN SẼ NHẬN NGAY BỘ CHĂN RA CAO CẤP. Cơ hội nhận ngay Bộ chăn ra gối nệm Solid Edena trị giá 3,270,000 vnđ dành cho bạn nào giải được câu đố của C",3,NEUTRAL,Bình Mình,POST,Personal,Credit card,VIETCOMBANK
"# edena # crazysale Chăn ra gối nệm Edena · GAME SIÊU HACK: THÁCH AI GIẢI ĐƯỢC CÂU ĐỐ EDENA CRAZY SALE 80++, BẠN SẼ NHẬN NGAY BỘ CHĂN RA CAO CẤP. Cơ hội nhận ngay Bộ chăn ra gối nệm Solid Edena trị giá 3,270,000 vnđ dành cho bạn nào giải được câu đố của C",3,NEUTRAL,Hong Thuy,POST,Personal,Credit card,VIETCOMBANK
FB mình có ai làm tại vietcombank k ạ? Mình hỏi chút với,2,NEUTRAL,Âu Tuấn,POST,Personal,Customer Care,VIETCOMBANK
3. dịch vụ VCB e-Tour dịch vụ thanh toán phí du lịch trực tuyến hiện đại và tiện lợi cho phép khách hàng thanh toán phí dịch vụ du lịch trực tuyến từ tài khoản Vietcombank,2,NEUTRAL,Ly Ly,COMMENT,Personal Page/Group,Personal Internet Banking,VIETCOMBANK
"· # Agift # from # nhatrangheart # chamoasis # champa # island We Love Cham oasis, and you? SỞ HỮU VĨNH VIỄN CĂN HỘ NGHỈ DƯỠNG THƯỢNG HẠNG NHA TRANG Vị trí độc tôn. Phong cảnh hữu tình. Không gian biệt lập. Ốc đảo du lịch duy nhất Nha Trang, với 4 mặt vie",3,NEUTRAL,Nguyễn Trọng,POST,Personal,Personal Loan,VIETCOMBANK
· Vietcombank như lìn í. Thẻ thì bị hack báo khoá mấy tháng trước rồi có xài đc méo nữa đâu mà phí này phí kia. Chán vãi nồi Tổng đài hotline gọi thì bận hoặc ko có người trực. Tóm lại như lìn,2,NEGATIVE,Trần Bách,POST,Personal,Customer Care,VIETCOMBANK
# linkhay mỗi nhân viên Vietcombank mang có thể tạo 87 triệu đồng lợi nhuận thuần/tháng  mỗi nhân viên Vietcombank mang có thể tạo 87 triệu đồng lợi nhuận thuần/tháng,2,NEUTRAL,LoanTin,POST,Page,Management,VIETCOMBANK
"Có những tin ntn, cảm thấy mn dần thấy đc giá trị techcombank đem lại cho các khách hàng . Điều đó thể hiện Techcombank đang đi đúng hướng trên con đường thành công, với cơ sở lấy Khách hàng là trọng tâm. Mọi người cùng trải nghiệm sự tuyệt vời của hệ thố",2,NEGATIVE,Cầm Dương,POST,Personal,Account Activity,VIETCOMBANK
"· $100,000 Đường Bùi Văn Bình Phường Phú Lợi, TDM,BD bạn nào có sài thẻ atm Vietcombank Vpbank Tpbank ACBANK OCBANK EXIMBANK BIVD SACOMBANK bạn nào có sài 1 trong những thẻ trên mà có đăng kí intetner banking thì ib mình . mình chỉ cho bạn nhận 100k !",3,NEUTRAL,Cao Minh Hòa,POST,Personal,Personal Internet Banking,VIETCOMBANK
"Có ai dùng mobeill banking viettinbank , hay vietcombank k ạ cho e nhờ tý việc",2,NEUTRAL,Bà Xù,POST,Personal,Personal Internet Banking,VIETCOMBANK
"50k còn lại rút sẽ mất phí, mà tùy cây atm  sẽ rút dc 50k, mà nếu có rút dc 50k thì ít nhất số dư bạn phải còn 102000 đồng( phí rút 500 đồng đến 1100 đồng).",2,NEUTRAL,Thanh Hoa,COMMENT,Personal Page/Group,Account Activity,VIETCOMBANK
· . Hội Thao Ngân Hàng VietComBank ... Toàn model không hahaha,2,NEUTRAL,Nghĩa Trí,POST,Personal,Internal Activity,VIETCOMBANK
"· -...Bạn bè người thân ai có thẻ Vietcombank, Sacombank, Agribank, DongAbank, cái chi bank cũng được... chuyển giúp em 850k với.. chiều mai e chuyển lại cho ạ... Giúp e với em đang cần gấp mà ko chuyển tiền đc ạ",2,NEUTRAL,Ny HD,POST,Personal,Account Activity,VIETCOMBANK
"· [BẢN TIN CUỐI NGÀY 26/07/2017] DIỄN BIẾN THỊ TRƯỜNG THANH KHOẢN DẬM CHÂN TẠI CHỖ, VN-INDEX VẪN TĂNG GẦN 7 ĐIỂM Mặc dù tiếp tục có những đóng góp tích cực cho VN-Index nhưng các cổ phiếu ngân hàng như CTG, VCB… vẫn lép vế hơn nếu so với VNM, VIC, GAS – n",3,NEUTRAL,Duc Hung,POST,Personal,Financial Activity,VIETCOMBANK
"· [BẢN TIN CUỐI NGÀY 28/07/2017] DIỄN BIẾN THỊ TRƯỜNG CỔ PHIẾU NGÂN HÀNG KHỞI SẮC, VNINDEX CHỐT TUẦN TRONG SẮC XANH Sau khoảng thời gian đầu rung lắc nhẹ quanh mốc tham chiếu, Vnindex đã bứt phá mạnh mẽ trong ngày hôm nay nhờ ảnh hưởng tích cực của nhóm c",3,NEUTRAL,Duc Hung,POST,Personal,H.R,VIETCOMBANK
A Giày cao gót nhé. add,2,NEUTRAL,Mai Chiên,COMMENT,Personal Page/Group,Brand Activity,VIETCOMBANK
"nhanh ... gọn... free ... còn chần chừ j nữa nào các chế !!! Thúy Ngọc Nguyễn Follow · Thực sự là bị kết TECHCOMBANK lắm ý . Giao diện dễ sử dụng , chuyển khoản tất cả các ngân hàng đều không mất phí chuyển tiền, trước chỉ gửi tiết kiệm thôi mà đc các chị",2,NEGATIVE,Quỳnh Nga,POST,Personal,Account Activity,VIETCOMBANK
"· [CHỨNG MINH THU NHẬP] Hi các anh chị, cho em hỏi mấy câu liên quan tới chứng minh thu nhập và Học bổng vùng ạ. 1. Hiện tại em đã xin được sao kê lương ở ngân hàng Vietcombank. Khổ nỗi là ngân hàng VCB này chỉ cho phép in 1 lần 3 tháng, thành ra là hiện ",3,NEUTRAL,Duy Khanh Pham,POST,Personal,Brand Activity,VIETCOMBANK
"· [Góc hỏi han] Mọi người ơi có ai chuyên môn về lĩnh vực ngân hàng xin giải ngu cho em với. 2 ngày trước, 27.07.2017 em có giao dịch ở shop mỹ phẩm Nhật Bản Muji tại Taimall, Taiwan bằng thẻ visa với số tiền là NTD3.675 (khoảng gần 3tr tiền Việt). Sau đó",3,NEUTRAL,May Pham,POST,Personal,Account Activity,VIETCOMBANK
"· [Góc nhờ vả] Đêm khuya mò mẫm, các bạn bỏ quá đi, chúng tui là những con người ngoại trừ chạy lũ giỏi ra thì không còn giỏi gì hết :(( Sắp deadline mới bắt đầu làm, các bạn bỏ ít thời gian điền cái link xinh xinh này nhé Many thanks PHIẾU THĂM DÒ Ý KIẾN",3,NEUTRAL,Anh Nguyen,POST,Personal,No service,VIETCOMBANK
"· [HELP] Ai có 2 triệu trong tk Vietcombank ,Vietinbank,ACB ,Agribank ,Techcombank ,Sacombank Em nhờ chuyển 2 triệu bằng đường Internet banking, em cần gấp vào hôm nay hoặc ngay mai, em sẽ mang tiền mặt đến gưir luôn bây giờ, em cám ơn ạ",3,NEUTRAL,Nguyễn Khánh Linh,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· [MUA NHÀ KHU ĐÔNG KHÔNG LO TÀI CHÍNH] Xóa bỏ nỗi lo tài chính, khu đô thị PhoDong Village quận 2 phối hợp với Vietcombank - Chi nhánh TP.HCM mang đến cơ hội vàng sở hữu nhà phố, biệt thự xây sẵn trong chương trình “Mua nhà khu Đông không lo tài chính”  ",3,NEUTRAL,Phuong Truong Hoai,POST,Personal,Personal Loan,VIETCOMBANK
"· [MUA NHÀ KHU ĐÔNG KHÔNG LO TÀI CHÍNH] Xóa bỏ nỗi lo tài chính, khu đô thị PhoDong Village quận 2 phối hợp với Vietcombank - Chi nhánh TP.HCM mang đến cơ hội vàng sở hữu nhà phố, biệt thự xây sẵn trong chương trình “Mua nhà khu Đông không lo tài chính”  ",3,NEUTRAL,Micheal Linh,POST,Personal,Personal Loan,VIETCOMBANK
"· [MUA NHÀ KHU ĐÔNG KHÔNG LO TÀI CHÍNH] Xóa bỏ nỗi lo tài chính, khu đô thị PhoDong Village quận 2 phối hợp với Vietcombank - Chi nhánh TP.HCM mang đến cơ hội vàng sở hữu nhà phố, biệt thự xây sẵn trong chương trình “Mua nhà khu Đông không lo tài chính”  ",3,NEUTRAL,Luan Doan,POST,Personal,Personal Loan,VIETCOMBANK
"· [Xin phép các ad ạ] Chia sẻ cho bạn nào muốn kiếm thêm thu nhập 100k-200k/ngày. Yêu cầu phải có thẻ ngân hàng sau và có internet banking! Các ngân hàng VCB, ACB, OCB, TPB, Exim, Sacom ,VPbank, BIDV. ib mình hướng dẫn cụ thể nhé!",3,NEUTRAL,Hung Ngoc,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· [Xin phép các Ad ạ] Chia sẻ cho bạn nào muốn kiếm thêm thu nhập100k-200k/ngày. Yêu cầu phải có thẻ ngân hàng sau và có Internet banking nữa ạ! Các ngân hàng VCB, ACB, OCB, TPB, Exim, Sacom ,VPbank, BIDV ib mình hướng dẫn cụ thể ạ!",3,NEUTRAL,Hung Ngoc,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ~ Nhận ngay 100k mới ví MOMO . hoàn toàn miễn phí ~ hiện tại momo đang hổ trợ liên kết với các ngân hàng sau đây: Vietcombank, OCB, VPBank, Eximbank, Sacombank, TPBank, ACB, Viettinbank, BIDV, và có đăng ký dịch vụ internet Banking. ~ B1: Tải ứng dụng M",3,NEUTRAL,Đạt Còii,POST,Personal,Personal Internet Banking,VIETCOMBANK
Vietcombank nha c,2,NEUTRAL,Huong Thai,COMMENT,Personal Page/Group,No service,VIETCOMBANK
Ngân Hàng Vietcom Bank làm ăn chán vãi nồi..!!! Có mấy trăm nghìn mà không rút được.!!!,2,NEGATIVE,Mạnh Cường,POST,Personal,Account Activity,VIETCOMBANK
À t đang gửi tiền tích kiệm ý,2,NEUTRAL,Phạm Thị Thanh Phương,COMMENT,Personal Page/Group,Saving Account,VIETCOMBANK
"· ~ Nhận ngay 100k mới ví MOMO . hoàn toàn miễn phí ~ hiện tại momo đang hổ trợ liên kết với các ngân hàng sau đây: Vietcombank, OCB, VPBank, Eximbank, Sacombank, TPBank, ACB, Viettinbank, BIDV, và có đăng ký dịch vụ internet Banking. ~ B1: Tải ứng dụng M",3,NEUTRAL,Võ Hồ Đăng Khoa,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫1 Hà Nội Mình có công việc làm tại nhà ngày kiếm 100-200k. Bạn nào muốn biết cách thì inbox mình share cho nhé. Phải có 1 trong các thẻ: VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK, BIDV hoặc OCB BANK đã đăng ký dịch vụ INTERNET BANKING mới đ",3,NEUTRAL,Trang Phù Thủy,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫1 Quảng Ngãi (thành phố) Cơ hội kiếm tiền hot . Chỉ cần bỏ ra 15p. đăng kí xong là các bạn có ngay 110k . Và có thể kiếm thêm 1 triệu trong ngày . Nhanh tay chương trình sắp hết hạn - dành cho những bạn có thẻ ATM : vietcombank, OC bank, VP bank, eximb",3,NEUTRAL,Toan Nguyen Duc,POST,Personal,Personal Internet Banking,VIETCOMBANK
· ₫1 Quảng Trị (thị xã) Nhận 240k khi đến làm thẻ nha Ai đang 16 tuổi trở lên đến làm thẻ free và nhận tiền mặt nha Ai đả liên kết vs ví điên tử MOMO vs nganhangf vietcombank oy thì bây h đên liên kết ngân hàng vpbank củng dk nhận tiền nha Bên mình cần tu,3,NEUTRAL,Văn Huân,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫1,210,000 Thành phố Hồ Chí Minh +Căn hộ 2PN 2WC. Diện tích 60m2 +Mặt tiền Phan Văn Hớn. +Cửa Bắc, view Nam (nhìn ra Phan Văn Hớn, sân bay TSN). +Cam kết giá tốt nhất Khu vực. +Ngân hàng Vietcombank bảo lãnh hỗ trợ cho vay 70%. +Ngoài ra còn 1 số căn hộ",3,NEUTRAL,Nguyễn Quốc Minh Tâm,POST,Personal,Banking Investment,VIETCOMBANK
"· ₫1,210,000 Thành phố Hồ Chí Minh +Căn hộ 2PN 2WC. Diện tích 60m2 +Mặt tiền Phan Văn Hớn. +Cửa Bắc, view Nam (nhìn ra Phan Văn Hớn, sân bay TSN). +Cam kết giá tốt nhất Khu vực. +Ngân hàng Vietcombank bảo lãnh hỗ trợ cho vay 70%. +Ngoài ra còn 1 số căn hộ",3,NEUTRAL,Nguyễn Quốc Minh Tâm,POST,Personal,Banking Investment,VIETCOMBANK
Mình lương trên 7tr nhận qua ngân hàng VCB. Muốn làm thẻ Gold có đc ko?! Sđt 0909708078,4,NEUTRAL,Jason Nguyen,COMMENT,Personal Page/Group,Account Activity,VIETCOMBANK
"Ad cho em hỏi ạ , hôm nay có sđt 0986932784 gọi đến máy em và thông báo tk của em trúng 20tr kèm 1 chiếc tv. Yêu cầu là giữ cuộc liên lạc k đc tắt máy và ra mua thẻ về nạp 1tr vào đt của mình .E có hỏi lại là ra chi nhánh xác nhận được không thì bạn đó ch",4,NEUTRAL,Vân Siêu Nhân,COMMENT,Personal Page/Group,Brand Activity,VIETCOMBANK
"Ad cho em hỏi, nếu em không đổi mật khẩu đăng nhập dịch vụ VCB - iB@nking có sao không ạ?",2,NEUTRAL,Kim Uyên,COMMENT,Personal Page/Group,Personal Internet Banking,VIETCOMBANK
"· ₫1,300 Hà Nội SỞ HỮU CĂN HỘ CHUNG CƯ NỘI THÀNH HN chỉ từ 400tr, trả góp 6-9tr/tháng Sở hữu căn nhà của riêng mình ở HN không còn là mơ ước quá xa vời nữa. Geleximco cùng sự hỗ trợ tài chính của VCB, An Bình bank, BIDV ra mắt mở bán căn hộ trong tổ hợp c",3,NEUTRAL,Vân Hana,POST,Personal,Personal Loan,VIETCOMBANK
"· ₫1,900 Đà Nẵng VỊ TRÍ VÀNG CỦA ĐÀ NẴNG THIẾT KẾ SANG TRỌNG BẬC NHẤT, TIỆN ÍCH 5 SAO, CHẤT LƯỢNG THEO 100% TIÊU CHUẨN NHẬT BẢN ĐẦU TƯ SINH LỜI CAO, LỢI NHUẬN LÂU DÀI GIÁ TỪ 1.8 TỈ NGÂN HÀNG VIETCOMBANK BẢO LÃNH DỰ ÁN NHANH TAY ĐẺ CÓ NGAY CĂN HỘ MƠ ƯỚC- C",3,NEUTRAL,Duc Nguyen,POST,Personal,Banking Investment,VIETCOMBANK
"Chán VCB suốt ngày báo lỗi cây atm toàn hệ thống, dịch vụ quá kém",2,NEGATIVE,Duong Anh Tuấn,COMMENT,Personal Page/Group,Account Activity,VIETCOMBANK
Ad cho hỏi đăng kí: vcb cd gửi 6167 có tốn phí gì không?,2,NEUTRAL,Nguyễn Minh Tân,COMMENT,Personal Page/Group,Brand Activity,VIETCOMBANK
"· Ngân hàng VN phá sản Biểu tình phản đối ngân hàng Vietcombank quỵt nợ khách hàng Ngày 12/5/2015, một số nhân vật tranh đấu tại Hà Nội đã kéo đến trụ sở Ngân hàng Thương mại cổ phần Ngoại thương (Vietcombank) – chi nhánh Thanh Xuân để yêu ... www.youtube",2,NEGATIVE,Truong Hoang,POST,Personal,Management,VIETCOMBANK
· ₫10 Vinh ai có thẻ VCB/OCB/VPBank/Eximbank/Sacombank đã đăng kí internet banking muốn kiếm thẻ 100k thì ib mình p/s: có mất phí 10k,3,NEUTRAL,Ngô Xuân Hoàng,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫10,000 Ho Chi Minh City, Vietnam Cần bán 10k đô Sing thấp hơn giá bán vietcombank. Anh, chị có nhu cầu inbox. Thanks.",3,NEUTRAL,Emerald Vo,POST,Personal,No service,VIETCOMBANK
"· Điện lực sửa điện ở ngoài đường Tủ điện nhà dân chập trên tường (!?) Ngân hàng Việt Com, sáng chủ nhật Khói xông, mùi nhựa khét tỏa hương… Người trực duy nhất ở ngân hàng Về nhà ăn cơm trưa dễ dàng Vắng mặt khi xảy ra vụ cháy Đà Nẵng, may mà không cháy ",2,NEGATIVE,Vạn Lý Độc Hành,POST,Personal,H.R,VIETCOMBANK
· Một ngày đẹp trời # vietcombank mobile app bỗng dưng chuyển sang đòi password thay vì M-PIN 6 chữ số mà đéo thông báo cho khách hàng biết,2,NEGATIVE,Sonny Kieu,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫100 Hà Nội Mình có công việc làm tại nhà ngày kiếm 100-200k. Bạn nào muốn biết cách thì inbox mình share cho nhé. Phải có 1 trong các thẻ: VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK, BIDV hoặc OCB BANK đã đăng ký dịch vụ INTERNET BANKING mới",3,NEUTRAL,Trang Phù Thủy,POST,Personal,Personal Internet Banking,VIETCOMBANK
Ad cho hỏi mọi người nạp tiền từ tk vcb vào tk điện thoại được chiết khấu % như nào và f làm như nào,2,NEUTRAL,Giang Hương VP,COMMENT,Personal Page/Group,Brand Activity,VIETCOMBANK
· ₫100 Huế Chiều nay mình cần 15 làm thẻ Vietcombank miễn phí làm xong nhận 100k (50k tiền mặt 50k trong tài khoản) Các bạn đem theo cmnd bản gốc Để lại dấu . Mình sẽ ib hoặc lh qua số 01645731453,3,NEUTRAL,Sơn Võ,POST,Personal,Account Activity,VIETCOMBANK
· ₫100 Huế Ngày mai mình cần 15 làm thẻ Vietcombank miễn phí làm xong nhận 100k (50k tiền mặt 50k trong tài khoản) Các bạn đem theo cmnd bản gốc Và 16 tuổi trở lên Để lại dấu . Mình sẽ ib hoặc lh qua số 01645731453,3,NEUTRAL,Sơn Võ,POST,Personal,Personal Internet Banking,VIETCOMBANK
"· ₫100,000 Da Kao, Ho Chi Minh, Vietnam Alo.BIDV,Sacombank,Vietcombank,TPbank,VPbank, OCB,Exibank,ACB & MOMO CHÍNH THỨC HỢP TÁC - TẶNG NGAY 100.000Đ KHI LIÊN KẾT e-Banking VỚI MOMO Từ nay, khi liên kết e-Banking với MoMo, khách hàng BIDV dễ dàng Nạp/Rút t",3,NEUTRAL,Smartphone Na KT,POST,Personal,Personal Internet Banking,VIETCOMBANK
