MESSAGE,THEME,USER NAME,SENTIMENT,TYPE POST,TYPE USER,SERVICE,OBJECT NAME
Nếu dùng camera chất lượng bên Công Nghệ Phú là thấy rõ mặt Vũ Giang Minh Phú 3 photos and a video Follow Ho Chi Minh City · 2h trưa hôm nay tại ngân hàng sacombank chi nhánh lê đại hành mẹ mình rút tiền ra bị thằng đi ex giựt túi xách trong đó nhiều giấy,2,Akira Phong,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"Đi rút hết tiền về đi ce ơi Click for more Posted by 260,988 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Alice Thuỷ,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Ông Dương Công Minh đã làm chủ sacombank. Trước đó các Sếp rung cái sân gold sân bay của ông phải chăng để ""Chạm Nhẹ"" vào ông rồi cho vào im lặng. Báo chí bây giờ hướng dư luận sang vụ Nga-Mỹ một bên bán nhân phẩm danh dự,một bên thừa tiền bệnh hoạn mua",1,Alo Có,NEUTRAL,POST,Personal,Management,SACOMBANK
"C Huong Tu Khuu Co gui tien o day ko xem ne Click for more Posted by 448,297 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Amy LY,NEUTRAL,POST,Personal,Management,SACOMBANK
Fb em có anh chị nào làm bên Sacombank ko ạ cho em hỏi thăm xíu ạ. Em cảm ơn,2,Amy Mây Nguyễn,NEUTRAL,POST,Personal,Customer Care,SACOMBANK
"Có tiền để két sắt cho an toàn ha Hoa Rose Hoa . Tiếc là e k có tiền mà chỉ có tủ sắt. Kkkk. Click for more Posted by 14,175 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. anh em rút tiền nhanh :((",2,An An,NEGATIVE,POST,Personal,Management,SACOMBANK
ngan hang gio cung lua dan ...khong con gi de noi nua Click for more Posted by 82 Views Phước's IS · Cổ đông Sacombank bức xúc và đòi đại gia Trầm Bê phải lộ diện chịu trách nhiệm,2,An An Lam,NEGATIVE,POST,Personal,Management,SACOMBANK
"Sacombank co biến r moi người chú y nhé Click for more Posted by 240,014 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Ân Hb-n,NEGATIVE,POST,Personal,Management,SACOMBANK
"Tiền mất tật mang Click for more Posted by Learn More goo.gl Watch Again Resume Video Learn More goo.gl Quà tặng cuộc sống Learn More goo.gl 16,495 Views Quà tặng cuộc sống · Sacombank có biến. anh em rút tiền nhanh :((",2,An Khang,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ngân hàng v+ lãi do ăn cướp của dân đúng quy trình. Thanh Sơn Phạm Follow · Nghịch lý nền kinh tế Vn trong khi nền kinh tế chết ( lợn chết, DNNN chết...) , ngân hàng lãi trăm tỷ nghìn ty. Nguyên nhân LS cho vay NH ở VN rất cao, và người đi vay phải chịu k",2,An Lê,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Hội nghị cổ đông SACOMBANK. Cảnh báo: Ngân hàng phá sản hàng loạt, tiền gửi của sẽ ra sao? Cổ đông Sacombank: Ông Trầm Bê ở đâu? Cảnh báo: Ngân hàng phá sản hàng loạt, tiền gửi của sẽ ra sao? Cổ đông Sacombank: Ông Trầm Bê ở đâu? Like, Subscribe & Share",2,An Lê,NEGATIVE,POST,Personal,Management,SACOMBANK
Sacombank có chị nào tự nhiên bị trừ 140 như e ko??? :((,2,An Ngô,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
Ai có sacombank có 3tr850 k ck hộ mình với mình ck vietcombank lại 1 nốt nhạc ạ,2,An Nguyen,NEUTRAL,POST,Personal,No service,SACOMBANK
"Ai gửi tài khoản sacombank thì đi rút hết đi nhé Click for more Posted by 204,767 Views Có Thể Bạn Chưa Biết ? · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn gì hay chăng ??",2,An Nguyễn,NEGATIVE,POST,Personal,Management,SACOMBANK
· Quang cảnh khách hàng đến giao dịch tại Sacombank Phú Quốc (Đường 30/4 Thị trấn Dương Đông) sáng nay... Tôi là Nguyễn Hoài An - Giám đốc chi nhánh Sacombank PQ xin thay mặt tập thể CBNV gửi lời cảm ơn đến tất cả Quý khách hàng đã tin tưởng và đồng hành ,1,An Nguyen Hoai,NEUTRAL,POST,Personal,No service,SACOMBANK
"Đẹp trai quá Minh ơi Sacombank Career · THÔNG TIN TUYỂN DỤNG Vị trí: # Tài_Xế Khu vực: Hội sở Mô tả công việc: - Đưa rước lãnh đạo đến nơi làm việc và nơi công tác theo yêu cầu. - Hàng ngày lau chùi, giữ gìn xe sạch sẽ; kiểm tra nhiên liệu, nhớt, phanh (t",1,An Nhiên,NEUTRAL,POST,Personal,H.R,SACOMBANK
ai biết chuyển khoảng từ sacombank từ tphcm sang vietcombank ở hà nội mất phí là bao nhiêu hông cho nhiên biết vs @@,2,An Nhiên,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"sacombank giờ loạn quá Click for more Posted by 76,214 Views Có Thể Bạn Chưa Biết ? · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn gì hay chăng ??",2,An Ninh Tran,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Vẫn cùng một con đường từ chỗ làm về nhà mà sao hnay cảm xúc lạ thế, chẳng giống như mọi ngày. Trong lòng nặng trĩu một cảm giác khó tả... Tạm biệt góc làm việc - nơi đã gắn bó với ta suốt gần 10 năm qua Tạm biệt anh/em PGD Bô Thời. Chúng mình đã có mộ",4,An Thái An Phú,NEUTRAL,POST,Personal,H.R,SACOMBANK
"Hãy đầu tư Biệt Thự Nghỉ Dưỡng. An nhàn, lợi nhuận cao lại ko rủi ro. · Biến Sacombank chăng ?",2,An Thi Xuan Van,NEUTRAL,POST,Personal,Management,SACOMBANK
cho hỏi ở phố giác có cay ATM SACOMBANK KHÔNG NHỈ,2,An Tiến Dũng,NEUTRAL,POST,Personal,Branch,SACOMBANK
"· Tin mới nhất: Mua Samsun Galaxy S8/S8+ tại FPT 411 Quang trung - Quảng Ngãi sẽ đươc: - Trả góp 0% - Tặng PMH Phụ Kiện 500,000đ. - Thu cũ - Đổi Mới - Tiết kiệm Lên đến 9 triệu. - Giảm 2 triệu khi mua s8 và S 8 plus khi sở hữu những dòng sản phẩm : S6 , S",3,An Tina,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"· Tin mới nhất: Mua Samsun Galaxy S8/S8+ tại FPT 411 Quang trung - Quảng Ngãi sẽ đươc: - Trả góp 0% - Tặng PMH Phụ Kiện 500,000đ. - Thu cũ - Đổi Mới - Tiết kiệm Lên đến 9 triệu. - Hoàn tiền lên đên 2 triệu khi thanh toán qua thẻ tín dụng: Citibank, HSBC, ",3,An Tina,NEUTRAL,POST,Personal,Credit card,SACOMBANK
Sacombank & Phương Nam Click for more Posted by 944 Views Clip Mới · ông trần Bê đâu ra đây cho bác gái này chém. lại lục đục ngân hàng,2,An Vũ,NEGATIVE,POST,Personal,Management,SACOMBANK
"Gui tien ngan hang tot hay khong tot Click for more Posted by 2,771 Views Hoa Lan Bảo Ngọc · ACE đang có tiền trong Sacombank có nên rút tiền ra không ạ??? Ông Trần Bê ơi, sao gọi mãi không ra ạ, để cô ấy gọi mãi vậy!!!",2,Ana Lotus,NEUTRAL,POST,Personal,Management,SACOMBANK
"Ngân hàng ơi là ngân hàng ! Ai đang gửi tiền ở Sacombank vô mà coi nè Click for more Posted by 32,574 Views Bluevn · Bạn đã xem chưa: Biến lớn tại ĐHCĐ Ngân hàng Sacombank. ""Ông Trầm Bê đâu, sao không có mặt?""",2,Ana Tam Coin,NEGATIVE,POST,Personal,Management,SACOMBANK
"A e rút nhanh nhanh nhé ghê quá...... Click for more Posted by 13,546 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. anh em rút tiền nhanh :((",2,Andy Bảo HairStyle,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
"Trầm bê thực ra cũng chỉ là con cờ của con gái 1 quan chức cao cấp(đã về hưu) trong việc cướp sacombank từ tay CT Đặng V Thành mấy năm trước. NH Phương Nam của TB chỉ là 1 NH nhỏ, đang chết lâm sàn vì nợ xấu thì làm j có đủ năng lực tài chính để thâu tóm ",2,Andy Bui,NEUTRAL,POST,Personal,Management,SACOMBANK
"Rút hết từ lâu rồi .... Click for more Posted by 35,326 Views Công An Thành Phố · Ông Trầm Bê đâu, sao không có mặt? Sacombank có chuyện gì chăng ??",2,Andy Huynh,NEGATIVE,POST,Personal,Management,SACOMBANK
"Cũng mai chưa đổi sag sacombank Click for more Posted by 819,073 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Angelina Nguyễn,NEGATIVE,POST,Personal,Management,SACOMBANK
· Ai cho em hỏi nếu từ sacombank chuyển qua arghibank thì mất bao lâu mới nhận được tiền ạ?,2,Ánh Amy,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"· GÌ MÀ LÂU THẾ - BẢO HÀNH ĐẾN 33 THÁNG? Tăng thêm 9 tháng bảo hành khi sắm máy ảnh # Fujifilm # XA3 , # XE2S , # XT20 , # XT2 , # XPro2 , # X100F tại # AnhĐứcDigital  2 năm bảo hành chưa đủ để bạn yên tâm khi sắm một chiếc máy ảnh cho mình! Xóa tan nỗi l",3,Anh Duc,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"Cổ đông Sacombank bức xúc vì sát nhập ngân hàng, cô tức không được trả (Sát nhập ngân hàng Phương Nam, Sacombank cũng tăng theo gánh nặng chi phí, giá cổ phiếu không tăng thậm chỉ còn sụt giảm. Bác cổ đông hẳn rất bức xúc.)",2,Anh Đức,NEGATIVE,POST,Page,Management,SACOMBANK
"· Sử dụng Techcombank có những loại phí ẩn nào không ? Riêng cái khoản phí mở thẻ Visa Debit đã mất 100k, phí thường niên mất 150k là thấy oải rồi. Techcombank có cái gọi là gói tài khoản 10k/tháng thì bao gồm những dịch vụ kèm theo gì ? Rồi phí SMS thông",3,Anh Duc Le,NEUTRAL,POST,Personal,Debit Card,SACOMBANK
Ngoài Sacombank ra thì còn ngân hàng nào phát hành thẻ Visa paywave/Mastercard Paypass không ?,4,Anh Duc Le,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"Mổ bò ko được... Đá đổ. Dẹp nghỉ...!!! Click for more Posted by 120,558 Views Làng Vũ Đai.chipheo · Đang mổ bò ở Sacombank",2,Anh Hồ,NEGATIVE,POST,Personal,Management,SACOMBANK
"◢ Bạn là Giám Đốc, là một trong những người dẫn đầu tổ chức? Hãy để SACOMBANK mang đến dịch vụ xứng tầm đẳng cấp cùng các ưu đãi dành riêng cho bạn theo phong cách chuyên nghiệp nhất. ◢ Bạn là nhân viên văn phòng cần mẫn với cuộc sống ổn định? SACOMBANK t",1,Anh Hoang,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"· [Nhận ngày 100k từ MOMO] Điều kiện làm: Phải có 1 trong các thẻ VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK hoặc OCB BANK và đã đăng ký internet banking rồi nhé. Bước 1: Tải và cài đặt ví điện tử MoMo (Tìm kiếm với từ khóa ""momo"") như hình Bướ",3,Anh Lan,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"· [Nhận ngày 100k từ MOMO] Điều kiện làm: Phải có 1 trong các thẻ VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK hoặc OCB BANK và đã đăng ký internet banking rồi nhé. Bước 1: Tải và cài đặt ví điện tử MoMo (Tìm kiếm với từ khóa ""momo"") như hình Bướ",3,Anh Lan,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"[Nhận ngày 100k từ MOMO] Điều kiện làm: Phải có 1 trong các thẻ VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK hoặc OCB BANK và đã đăng ký internet banking rồi nhé. Bước 1: Tải và cài đặt ví điện tử MoMo (Tìm kiếm với từ khóa ""momo"") như hình Bước ",3,Anh Lan,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"· [Nhận ngày 100k từ MOMO] Điều kiện làm: Phải có 1 trong các thẻ VIETCOMBANK, ACB, VPBANK, SACOMBANK, TPBANK, EXIMBANK hoặc OCB BANK và đã đăng ký internet banking rồi nhé. Bước 1: Tải và cài đặt ví điện tử MoMo (Tìm kiếm với từ khóa ""momo"") như hình Bướ",3,Anh Lan,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"Nghe cái bạn đại diện Sacombank trả lời vui ghê. Mặc cho cổ đông tức muốn hộc máu, nhưng mà tôi vẫn nhai nhải mấy câu toàn lý thuyết như là chị có quyền blah blah blah. Đúng kiểu giáo điều chúng ta hay thấy ở đâu quen quen nà , kiểu mà tụi bây chết kệ tụi",2,Anh Lan Nguyen,NEGATIVE,POST,Personal,Management,SACOMBANK
"· BÁN GẤP đất nền nhà phố TIÊU CHUẨN SINGAPORE"" ĐIỆN ÂM+ NƯỚC MÁY""! - Diện tích 6x20 = 120m2, hướng Đông, nằm liền kề TRUNG TÂM THỊ TRẤN BẾN LỨC - Pháp lý: ĐÃ CÓ SỔ HỒNG, mua công chứng lấy sổ ngay. - Vị trí đắc địa: Nằm trong khu đô thị HƯNG GIA GARDEN C",3,Ánh Ngọc,NEUTRAL,POST,Personal,Personal Loan,SACOMBANK
"sacombank có biến Click for more Posted by 885,355 Views Pavel Thao · ""Ông Trầm Bê đâu?""",2,Ánh Ngọc,NEGATIVE,POST,Personal,Management,SACOMBANK
· Trai Gia Lương-Hà Bắc(Bắc Ninh). Ông Dương Công Minh làm Chủ tịch Sacombank - VnExpress Kinh Doanh Ông Dương Công Minh được bầu làm Chủ tịch HĐQT Ngân hàng Sacombank với tỷ lệ phiếu bầu cao nhất. kinhdoanh.vnexpress.net,1,Anh Nguyen,NEUTRAL,POST,Personal,Management,SACOMBANK
· Nếu giờ có tiền mặt sẽ làm gì??? Mình sẽ mua số lượng lớn cổ phiếu sacombank /-strong /-strong /-strong,2,Anh Nguyen Van,NEUTRAL,POST,Personal,Management,SACOMBANK
"Sacombank may huynh muội ơi. tiêu thiệt rầu zau au. Click for more Posted by 296,405 Views Pavel Thao · ""Ông Trầm Bê đâu?""",2,Ánh Nguyệt Đàm,NEGATIVE,POST,Personal,Management,SACOMBANK
"Kakakaka đại hội cổ đông thường niên sacombank, căng đen đét. Há há Click for more Posted by 73,179 Views KIEN THUC KINH TE · ""Tôi là cổ đông Lê Thị Kim Cúc"" ""Ông Trầm Bê đâu?"" # PavelThao",2,Anh Nhi,NEGATIVE,POST,Personal,Management,SACOMBANK
"Haizaa... có tiền cũng chết... ko tiền cũng die...SACOMBANK phá sản hủm? Click for more Posted by 351,121 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Anh Phạm Nhatrang,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ai còn tiền ở anh sacom lo rút hết cho rồi Click for more Posted by Learn More Watch Again Resume Video Learn More Sacombank Learn More 56,256 Views Hoài Linh CO · Ông Trầm Bê đâu, sao không có mặt?",2,Anh Quân,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Oxa tui da gan ket gan 20nam cong tac.tu nam ra nghe an.hi NGHỀ CHỌN NGƯỜI - Ngân Hàng TMCP Sài Gòn Thương Tín Đến giờ, đôi khi chính bản thân tôi vẫn không thể nghĩ mình có thể trở thành nhân viên Ngân hàng. Đó không phải là ước mơ thuở nhỏ của tôi, cũ",1,Anh Thu Dương,NEUTRAL,POST,Personal,H.R,SACOMBANK
Người ấy vô cùng quan tâm tới tôi Dứt hành động là tn vừa đến! Chỉ có thể là anh ấy:Sacombank!,2,Anh Thư Ead,NEUTRAL,POST,Personal,No service,SACOMBANK
"Truyền Nguyễn zô nghiên cứu dần đi nha Click for more Posted by Watch More Watch Again Resume Video Watch More Watch More 224,953 Views Halotimes.vn · NÓNG: SACOMBANK rơi và khủng hoảng cổ đông nghẹn ngào còn người đã từng hô hào là ông TRẦM BÊ giờ đang ở",2,Anh Thư Phan,NEGATIVE,POST,Personal,Management,SACOMBANK
"Phốt lớn ở ...Sacombank Click for more Posted by 190 Views Long Pham · Ông Trầm Bê đâu? Hôm nay sao ko có ông Trầm Bê??? Ông đương nhiên vô Sacombank, giờ ông ra sao không chào ai hết vậy? Cổ đông chất vãi các bác ạ, trịu like",2,Anh Thuong,NEGATIVE,POST,Personal,Management,SACOMBANK
"Phương Nam và Sacom Click for more Posted by 2,038,671 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Anh Tran,NEGATIVE,POST,Personal,Management,SACOMBANK
· Chuyện Nen Nguyen :CHÁY NHÀ RA NGOẠI TÌNH Hôm qua đi đến Sacom Bank Gửi cho Lão Ánh vài trăm để dùng Ngoài trời nắng cứ bừng bừng Ngân hàng cúp điện như từng xảy ra Vô tình gặp thấy Đào Hoa Rủ vào khách sạn ngọt ngào yêu thương Đang ân ái mới nửa đường ,4,Ánh Trần,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"· Tại FPT Shop 83 TRẦN HƯNG ĐẠO( NGÃ 3 LÝ TỰ TRỌNG ) Từ ngày 1/7 - 7/7, Khách hàng đặt trước siêu phẩm Samsung Galaxy S8 Plus màu tím khói sẽ nhận được rất nhiều phần quà đặc quyền vô cùng hấp dẫn. Khuyến mại: * Lò Vi Sóng Samsung * Đặc quyền F.Plus * Ưu ",3,Anh Tuan,NEUTRAL,POST,Personal,Credit card,SACOMBANK
· Có ai biết chuyển khoản onl sacombank không chỉ mình với,2,Anh Tuấn,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"Sacom có phải đang theo vết xe đổ của Ocean? Click for more Posted by 14,430 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. anh em rút tiền nhanh :((",2,Anh Tuấn,NEGATIVE,POST,Personal,Management,SACOMBANK
"Biến căng ngân hàng Sacombank ....ai dám gữi Tài khoản nữa... kkk... Còn bao nhiêu rút ngay ... Click for more Posted by 181,825 Views Hóng · Cổ đông Sacombank phản ứng dữ dội tại Đại hội cổ đông P/s: Lại không thấy ông Trầm Bê đâu??? Nguồn: Biến",2,Anh Tuấn Lê,NEGATIVE,POST,Personal,Management,SACOMBANK
"Chuẩn bị sập cổ đông rồi ông trầm b đâu Click for more Posted by 151,877 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Anh Tuấn Phan,NEGATIVE,POST,Personal,Management,SACOMBANK
"· PHÁ SẢN NGÂN HÀNG - TIỀN CỦA BẠN RA SAO? ======================================== Năm 2017, nhà nước thí điểm phá sản ngân hàng yếu kém (nợ xấu cao, hoạt động không hiệu quả) & chỉ bồi thường tối đa 75tr cho người dân đang gây hoang mang tuột độ. Liệu r",2,Anh Tuấn Từ,NEGATIVE,POST,Personal,Management,SACOMBANK
"Nickhun Duy đọc nè. Đỗ Thanh Hải Follow · Ngân hàng nước ngoài muốn rút vốn khỏi Việt Nam? Nguồn: Thơ Phương. Trong hành động mới đây, các ngân hàng nước ngoài bỏ chạy khỏi VN như Commonwealth Bank of Australia, HSBC, ANZ, Standard Chartered… thật đáng ng",3,Anh Tuyet Vu,NEUTRAL,POST,Personal,Management,SACOMBANK
"· Cuộc sống của mỗi người là một câu chuyện mà nhân vật chính không bao giờ biết trước được cái kết! Thế nên dù ngày mai có mưa hay nắng, bão giông hay yên bình thì vẫn cứ tin vào quyết định và sự lựa chọn của mình nhé! Ít nhất mình đã được sống đúng với ",4,Anh Van,NEUTRAL,POST,Personal,No service,SACOMBANK
"· Nghe thấy hoang mang quá. Các bác lãnh đạo hãy điều tra và bắt cô pé này đi! Cảnh báo: Ngân hàng phá sản hàng loạt, tiền gửi của sẽ ra sao? Cổ đông Sacombank: Ông Trầm Bê ở đâu? Cảnh báo: Ngân hàng phá sản hàng loạt, tiền gửi của sẽ ra sao? ",2,Anh Vinh Dong Nai,NEGATIVE,POST,Personal,Management,SACOMBANK
"con STB này có những thời điểm hơn 1n trc tụt còn 8 9k gì đấy, ông nào đòn bẩy đúng đoạn này thì đúng là thở oxy. Haizzz chỉ mới 2 năm trc vẫn còn 20k, giờ tụt xuống 13k mà cầm 600k cổ phiếu thì cô bức xúc cũng là dễ hiểu ko biết mấy a chị làm sacombank k",2,Anh Vũ,NEGATIVE,POST,Personal,Management,SACOMBANK
"Tương lai của sacombank nói riêng, tương lai và tầm xa của xã hội nói chung khi đưa những thằng chỉ biết vơ vét của dân, và có suy nghĩ của một đứa lớp 12. Em ko biết các bác thì sao chứ e cảm thấy nguy hại lắm nên e xin rút khỏi cái ngân hàng này sớm mắc",2,Anh Vương,NEGATIVE,POST,Personal,Management,SACOMBANK
"Sacombank có biến, Click for more Posted by 24,714 Views Bluevn · Bạn đã xem chưa: Biến lớn tại ĐHCĐ Ngân hàng Sacombank. ""Ông Trầm Bê đâu, sao không có mặt?""",2,Anhdao Xuan,NEGATIVE,POST,Personal,Management,SACOMBANK
"...... Ông Tuấn nói. ""... Sacombank sẽ phát huy nền tảng về mạng lưới, sản phẩm của mình để đầu tư các sản phẩm mới, một trong những sản phẩm đó là BẢO HIỂM NHÂN THỌ Kế hoạch của Sacombank sắp tới là : -Lập công ty bảo hiểm nhân thọ dưới hình thức liên do",2,Anna Phan,NEUTRAL,POST,Personal,Management,SACOMBANK
"Co phai nhu vay ko.rut thui. Click for more Posted by 203,898 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Anna Tran,NEGATIVE,POST,Personal,Management,SACOMBANK
"Lần đầu tiên được biết cảm giác trúng thưởng, khi tham gia chương trình bốc thăm trúng thưởng của Sacombank!",2,Anna Trinh Dung,NEUTRAL,POST,Personal,Brand Activity,SACOMBANK
· Cà mau ai biết hottline ngân hàng sacombank không ạ. Giúp em với.,2,Anna Trương,NEUTRAL,POST,Personal,Customer Care,SACOMBANK
"ây da ngân hàng bgio ghê quá Việt Nam! Việt Nam! Click for more Posted by Watch More Watch Again Resume Video Watch More Watch More 452,784 Views Halotimes.vn · NÓNG: SACOMBANK rơi và khủng hoảng cổ đông nghẹn ngào còn người đã từng hô hào là ông TRẦM BÊ ",2,Anny Loantran,NEGATIVE,POST,Personal,Management,SACOMBANK
"oi với Việt Nam! lm ăn sống nhăn Click for more Posted by 4,127 Views Cộng Hòa Thời Báo · Sacombank ""Ông Trầm Bê đâu?"" Nguồn Pavel Thao",2,Anny Loantran,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ai chót xài sacombank thì nhanh nhanh rút về đi kẻo không kịp Click for more Posted by 365,340 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Ant Huỳnh Trọng Hoàng,NEGATIVE,POST,Personal,Management,SACOMBANK
"Kêu gọi đầu tư nước ngoài mà ngân hàng nước ngoài chạy hết ... trớ trêu thay!? · Trong hành động mới đây việc các ngân hàng nước ngoài bỏ chạy khỏi VN như Commonwealth Bank of Australia; HSBC; ANZ; Standard Chartered,… thì thật đáng ngại cho VN. Đó là bởi",2,Antran Tran,NEGATIVE,POST,Personal,Management,SACOMBANK
"Khi cổ phiếu bank rớt giá, cổ đông bức xúc Click for more Posted by 22,587 Views Đặng Như Quỳnh Đặng Hà Phương 10 others · Nợ xấu năm 2015 trước lúc sát nhập có 1,8% Sát nhập rồi giờ lên 2,83% DỰ PHÒNG RỦI RO TĂNG GẤP ĐÔI LỢI NHẬN GIẢM NẶNG TĂNG CHI NHÁNH",2,Áo Đôi Đẹp,NEGATIVE,POST,Personal,Management,SACOMBANK
